latitude,longitude,brightness,frp,type
35.5105,-120.2434,301.5,5.1,0
34.6306,-111.9233,301.8,27.9,0
34.634,-111.917,300.2,25.7,0
28.7451,-81.9923,315.8,15.7,0
28.1985,-81.3082,311.6,8.2,0
28.2082,-81.3097,319.4,17.5,0
26.2819,-81.0889,309.5,7.7,0
26.984,-82.2563,307.9,5.3,0
28.2067,-81.3215,312.5,10.3,0
27.5022,-82.2942,307.5,6.4,0
28.9375,-81.3411,309,9.4,0
30.2138,-91.9877,301.2,14.2,2
29.145,-81.2248,349.8,77.6,0
29.1435,-81.2371,325.3,25.6,0
29.1483,-81.2197,322.6,24.3,0
29.1468,-81.2321,334,42.8,0
29.4136,-81.6982,316.4,16.8,0
29.7314,-82.166,328.6,30,0
29.73,-82.1774,306.3,6,0
29.9445,-82.6562,300.6,3.9,0
29.845,-90.8184,302.6,12.5,0
29.8544,-90.808,302,12.6,0
29.7726,-91.4707,309.4,25.3,0
29.7684,-91.4916,319.6,50.2,0
29.8755,-91.614,309.7,24,0
29.8764,-91.6212,308.6,20.4,0
30.062,-91.0138,307.3,16.8,0
29.9999,-91.7268,309.8,28.3,0
30.174,-91.1706,308.8,20,0
30.1663,-91.1756,305.7,15,0
30.9175,-87.3442,300.8,7.4,0
30.0895,-92.1353,304,18.4,0
30.1674,-92.2122,308.4,27.2,0
30.1626,-92.2351,300.3,11.8,0
31.8808,-81.6619,307.3,12,0
31.8793,-81.6749,315.7,20.7,0
30.5461,-90.6223,312.3,28.3,0
30.5608,-90.6075,309.3,22.5,0
30.5575,-90.6253,328.8,64.5,0
30.2487,-92.2107,300.8,11.7,0
30.557,-90.6115,328.5,63.6,0
30.5535,-90.6292,326.3,58,0
31.3,-86.6286,313,15.3,0
30.4835,-91.2359,301.8,11.8,0
31.8746,-84.0312,300.9,6.9,0
30.4852,-92.2211,315.9,48.9,0
30.4805,-92.2438,315.3,47.8,0
30.7105,-91.5037,306.1,19.1,0
30.6358,-91.876,302.8,18.2,0
30.7206,-93.0201,309.4,39.6,0
30.7145,-93.0253,303.4,25.2,0
32.3485,-84.3335,300.2,4.5,0
31.1283,-93.0353,331.5,113.6,0
31.1388,-92.9859,348.7,217.3,0
31.1519,-92.9899,315.4,52.5,0
31.1467,-93.0146,342.3,178.8,0
31.1415,-93.0392,312.4,44.2,0
31.546,-94.3275,309.8,51.2,0
31.5475,-94.3351,300.3,22.4,0
33.9192,-80.6527,301.9,12.2,0
30.9399,-93.6107,308.3,40.6,0
30.9262,-93.6065,310,45.7,0
30.9547,-92.9736,324.6,88.2,0
31.1336,-93.0106,367.9,401,0
36.8809,-88.3303,301.1,7.6,0
28.8988,-97.9502,306.2,34.8,0
28.8932,-97.9415,305.6,31.8,0
31.3066,-98.3081,314.1,88,0
31.3043,-98.3511,304.3,35.5,0
19.4103,-155.2898,317.9,22.4,1
19.4062,-155.2844,328.2,49.5,1
31.3011,-98.3459,308.1,53.5,0
19.4043,-155.2676,315.6,20.7,1
32.8445,-100.517,307,20,0
19.4083,-155.2735,324.7,39.8,1
31.3037,-98.3029,312.3,76.9,0
34.6303,-111.9315,315.6,15.1,0
33.1196,-113.4093,308.3,5.3,0
34.632,-111.9205,307.1,8.4,0
19.3975,-155.2884,322.9,11.5,1
31.5349,-93.655,305.6,10.2,0
30.0008,-90.4072,326.1,30.4,2
38.6448,-95.2734,305.2,11.8,0
39.7701,-94.8398,300.4,9.7,2
31.6424,-101.7608,305.2,11.8,0
19.4038,-155.2784,305.8,11.4,1
19.4133,-155.2769,311.2,15.4,1
31.8759,-84.0318,307,8,0
31.8744,-84.0213,304.8,6.7,0
31.9663,-83.9545,306.9,7.6,0
32.0882,-81.3086,304.7,6.9,0
32.5805,-82.1256,305,7.3,0
31.9649,-83.944,303.8,5.4,0
28.0825,-80.7169,310.4,11.9,0
31.0893,-85.0678,302.4,5.3,0
30.8487,-85.0526,300.8,3.5,0
30.8396,-85.0542,300.2,3.2,0
30.6363,-83.869,324.8,23.4,0
30.8031,-86.0242,300.8,5.5,0
30.5361,-85.254,304,6.3,0
30.5681,-85.7754,316.8,15,0
30.5666,-85.7642,317,15.4,0
30.447,-85.2757,301.3,4.5,0
30.0426,-85.3496,351.4,66.8,0
30.0412,-85.3389,346.5,56.1,0
28.6205,-81.5132,307.9,6.2,0
28.6185,-81.5015,316.7,14.2,0
29.8901,-91.6615,304.8,13.3,0
29.8588,-91.4484,304.1,15.9,0
29.8615,-91.454,303.1,15.3,0
28.0803,-80.7039,307.9,9.1,0
27.4638,-82.3556,309.4,6.6,0
32.8623,-94.964,302.4,46,0
32.8611,-94.9601,301.5,46.4,0
35.2259,-106.2134,305,11.2,0
35.2289,-101.5639,303.5,12.6,0
33.4179,-110.8636,309.3,12.8,2
31.1805,-97.68,302,24.6,0
32.2059,-103.8384,301.6,4.3,0
32.2034,-103.8243,305.5,7.8,0
30.9482,-97.8882,317.2,89.8,0
26.9834,-97.71,326.8,185.6,0
27.5181,-99.0334,309.4,36.8,0
27.525,-99.0382,310.8,44.2,0
27.0122,-97.7361,320.4,124.6,0
27.0116,-97.7438,343.5,406.3,0
27.0014,-97.7,313.2,73.4,0
26.9946,-97.7488,360,723.5,0
26.9844,-97.705,326.1,178.4,0
26.9934,-97.7538,342.6,385.9,0
32.0555,-81.5943,313.9,72.3,0
32.5719,-82.1429,304.1,38,0
32.5656,-82.1481,300.4,28,0
32.3886,-82.8785,302.5,39.9,0
26.1192,-98.1202,320.1,16.6,0
26.5283,-97.6487,314.7,6.5,0
26.9916,-97.7637,383.1,214.9,0
26.9895,-97.7758,361.9,113.9,0
29.6527,-96.2706,377,141.5,0
27.5227,-99.047,330,37.4,0
29.6997,-91.3843,317.3,16.7,0
29.8498,-90.9562,306.8,7.8,0
29.8563,-91.4565,311.8,10,0
29.9876,-91.0113,308.5,8.9,0
29.9329,-91.7522,311.9,9.8,0
29.9254,-91.8175,326.8,29.4,2
29.9239,-91.8305,318,16.8,2
29.9505,-91.6879,317.1,17,0
29.8711,-92.4468,321.1,21.3,0
30.05,-91.0861,309,8.5,0
29.997,-92.0695,316,14.4,0
29.9955,-92.0821,314.7,12.9,0
30.1343,-91.0454,315.7,16.6,0
30.1327,-91.0599,309.9,9.4,0
29.6511,-96.281,333.5,30.3,0
29.6617,-96.2724,311.9,7.2,0
29.6601,-96.2828,310.3,6,0
30.4803,-90.8194,304.7,8.4,0
30.5571,-90.6111,308.1,13.2,0
29.7446,-97.3449,310.7,7.1,0
30.438,-93.1242,303.3,4.2,0
30.4366,-93.1357,303.7,4.2,0
29.9635,-96.9531,310.8,6.4,0
29.9618,-96.9638,317,11.7,0
29.7836,-98.0613,308.8,5.7,0
29.9709,-96.9657,313.9,8.8,0
30.8295,-90.5242,323.9,37.9,0
30.2849,-95.6798,322.1,17.3,0
30.2834,-95.6901,312.2,8.5,0
30.6204,-93.2847,308.5,8.8,0
30.6189,-93.2961,301.8,4,0
30.8767,-92.9362,317.3,16,0
30.8835,-92.9199,327.9,29.5,0
30.882,-92.9318,333.1,37.9,0
30.893,-92.9215,310.9,10.6,0
30.5322,-95.8214,306.6,4.5,0
29.9881,-99.4936,317.6,17.6,0
30.155,-99.2576,314.8,14.9,0
30.8121,-95.2847,311.6,7.5,0
30.821,-95.2864,339.8,40.4,0
30.8195,-95.2968,320.7,15.5,0
31.0276,-95.0614,304.1,4,0
30.9839,-95.4364,318.1,14.3,0
30.9824,-95.4468,304.6,4.1,0
30.6323,-98.0849,308.7,7.4,0
30.6304,-98.0966,326.6,27.1,0
31.3413,-93.2328,323.1,22,0
31.3466,-94.9466,319.4,15.6,0
31.5361,-93.6513,313.8,12.9,0
30.9431,-97.8875,316.9,14.4,0
30.9412,-97.8989,319.2,16.8,0
32.6012,-94.1587,308,8.3,0
32.5998,-94.17,301,3.7,0
32.6104,-94.1603,301.6,3.7,0
32.7358,-93.3948,333.5,40.5,0
32.7343,-93.4069,313,13.8,0
32.7453,-93.3964,330.8,35.7,0
32.1925,-97.894,303.7,6,0
32.8609,-94.9789,319.6,17.5,0
32.8594,-94.9898,319.9,17.7,0
33.43,-91.9819,312.4,19.9,0
33.4284,-91.9965,320.5,31.1,0
33.4281,-93.4895,314.9,16.7,0
33.4266,-93.5018,302.9,6.7,0
33.3545,-94.1579,300.3,4,0
33.6266,-93.1123,305.9,10.5,0
33.6251,-93.1253,304.9,9.7,0
33.2777,-97.9926,311,10.6,0
33.8235,-94.2977,302.2,4.9,0
33.822,-94.3093,300.2,3.6,0
33.8296,-94.3054,300.5,4.2,0
33.8945,-94.3173,344.5,57.2,0
33.7577,-95.7533,301.4,4.2,0
31.5885,-95.4581,308.4,7.1,0
31.9839,-93.3864,302.5,4.1,0
31.7997,-94.8684,317.3,14.4,0
31.7983,-94.8791,311.3,9.4,0
32.0304,-95.0611,302.3,3.9,0
32.2347,-93.6517,303,5.1,0
31.8523,-96.4368,305.5,5.7,0
32.1862,-94.3101,301.5,3.5,0
31.5581,-99.1921,312.4,11.4,0
32.3743,-94.8992,301.6,3.4,0
34.9668,-100.3067,300.2,5,0
35.0738,-97.2491,308.7,9.9,0
35.0471,-97.2431,301.5,5.4,0
35.0754,-97.2382,325.5,25.1,0
35.0844,-97.2467,300.9,6.2,0
34.9691,-100.2935,304.8,8.6,0
19.4175,-155.275,310.3,16.4,1
32.947,-113.2873,307,9.9,0
32.9451,-113.3107,311.5,19.9,0
33.7865,-109.0724,305.8,20.4,0
33.7888,-109.0791,306.9,22.6,0
31.8496,-101.7996,348.3,68.7,0
31.8481,-101.8106,324.1,29.1,0
36.0551,-86.3854,301.7,9.3,0
36.0445,-86.3761,301.8,9.5,0
36.0461,-86.3873,302.2,9.7,0
30.0029,-90.4056,317.9,25,2
30.0014,-90.3929,309.1,15.5,2
19.4025,-155.2986,345.5,128.9,1
19.4053,-155.2823,418.3,897,1
35.1826,-112.1702,304.7,12.9,0
33.7855,-109.0743,300.8,10.1,0
19.4068,-155.2649,349.9,322.5,1
19.4123,-155.2934,361.6,461.6,1
19.4076,-155.2596,334.5,187.2,1
19.4133,-155.2877,374,657.2,1
32.7559,-82.5165,300.3,34.1,0
32.7462,-82.4765,302,41.3,0
32.376,-82.0247,303.8,53.5,0
32.3899,-82.0251,302.4,47.4,0
31.4226,-89.7474,301.8,6.9,0
31.4199,-89.7327,313.3,20.4,0
29.7557,-93.8715,306.7,5.6,0
31.8118,-94.5404,304.2,7,0
31.8103,-94.5299,302.7,6.1,0
31.9617,-96.8661,302.6,10.2,0
30.9633,-92.7289,305.8,5.8,0
30.9615,-92.7179,308.5,7.8,0
30.4878,-90.8191,312.6,14.5,0
30.2354,-90.737,300.5,3.6,0
30.1573,-91.2309,313,13,0
30.1551,-91.2181,309.5,8.8,0
29.9903,-91.0397,304.8,5.4,0
31.5162,-106.1798,301.4,31,0
29.7121,-95.1306,305.5,4.2,2
29.7437,-97.3463,315.5,16.8,0
29.7422,-97.3347,300.3,4.4,0
29.7387,-97.3419,300.5,5,0
29.5726,-98.0306,302,5.2,2
29.7159,-100.0125,333.8,63.1,0
29.7142,-99.9961,311.3,16.3,0
29.7048,-100.0144,319.6,31.2,0
29.7031,-99.9981,307.9,12.5,0
29.3161,-98.9613,315.9,17.5,0
26.242,-97.9804,310.9,6.3,0
26.2378,-98.0947,314,9.1,0
26.2326,-97.9818,310.5,6,0
26.2472,-98.0933,311.9,7,0
33.822,-115.389,318.6,13,0
32.6179,-116.1203,313.7,12.7,0
33.8103,-115.3788,326.7,23,0
33.8242,-115.4015,329.8,29.3,0
28.3372,-81.2215,313.4,9.3,0
26.7415,-80.5301,340.3,38.7,0
26.7504,-80.5317,339.6,37.4,0
26.749,-80.5416,324.6,17,0
26.8326,-81.6003,315.8,11.3,0
26.8311,-81.6105,308.8,5.5,0
26.8416,-81.602,338.8,38.3,0
26.8401,-81.6122,337,35.1,0
27.0536,-81.2968,314.5,10.6,0
27.1267,-81.0491,312.4,8.2,0
29.3255,-82.4504,306.7,4.1,0
27.3122,-82.3878,304.1,4.3,0
27.6196,-80.8945,336.4,35.8,0
27.6181,-80.9045,322.6,18.4,0
27.6996,-80.5908,312.3,11.9,0
27.6981,-80.6008,302.3,5.4,0
27.6259,-81.2921,315.2,10.1,0
27.6362,-81.2837,326.2,20.1,0
27.6348,-81.2938,385.4,174.1,0
27.6333,-81.3038,319.5,13.9,0
27.6437,-81.2955,378.1,142.7,0
27.6422,-81.3055,331.5,26.8,0
27.7198,-80.8981,311.4,7.8,0
27.6898,-81.6111,307.5,6.2,0
27.9027,-81.0986,304.8,4.5,0
27.9211,-81.6677,313.6,9.4,0
29.863,-81.3755,302.4,3.4,0
28.0475,-82.1099,309.8,6.1,2
29.6584,-82.6289,318.7,14,0
29.3583,-82.2961,306.3,5,0
28.8608,-82.4125,312.2,8.6,0
28.6185,-81.507,315.7,9.7,0
29.8484,-81.8627,304.2,4.8,0
29.8573,-81.8645,302.2,3.8,0
28.6096,-81.5052,310.5,5.6,0
30.1814,-84.2916,308.4,8.8,0
29.7101,-83.4759,361.7,103.1,0
29.7458,-83.3124,306.8,8.1,0
30.0169,-82.2796,301.9,3.2,0
30.0048,-82.6593,308.8,7.4,0
30.1603,-81.9317,322.6,18.8,0
30.1588,-81.9419,315.2,11.9,0
30.1692,-81.9334,320.9,16.4,0
30.1715,-82.9573,301,3.4,0
30.3797,-81.818,308.4,7,0
30.1841,-83.2895,306.3,5.5,0
30.4617,-81.7667,302.8,4.2,0
30.4696,-82.2729,302.4,5.1,0
30.1738,-84.2776,312.5,11.9,0
30.1833,-84.2797,316.7,16.8,0
30.3749,-85.2248,303.2,5.2,0
30.636,-83.8716,305.7,6.7,0
31.0063,-81.8262,306.8,7.5,0
30.739,-83.7079,307.6,7.2,0
31.3226,-81.7362,302,4.5,0
31.1465,-84.1089,301.4,3.9,0
31.5868,-82.0805,307.5,7.2,0
31.6884,-82.457,302.4,4.5,0
30.9222,-87.3385,304.2,9.4,0
31.6456,-83.1678,306,6.6,0
31.6439,-83.1785,307.5,7.6,0
31.9028,-82.0021,305.3,5.8,0
31.9013,-82.0125,302.8,4.5,0
32.021,-81.6229,313.9,10.9,0
32.0195,-81.6334,327.3,24.2,0
32.0269,-81.6456,312.9,9.8,0
32.0829,-81.3108,302.7,4.3,0
32.0358,-81.6474,340.6,41.7,0
32.0344,-81.6578,342.3,45.3,0
32.0448,-81.6491,327.4,24,0
32.0433,-81.6596,381.2,157.3,0
32.0418,-81.6701,333.7,32.8,0
32.0522,-81.6614,304.9,6,0
31.8568,-83.9985,318.7,18.6,0
31.8716,-84.0252,306.9,6.9,0
31.8828,-84.2349,308.9,10.6,0
31.6564,-85.8024,307.1,10.1,0
31.6541,-85.8159,300.9,4.5,0
32.3773,-82.031,358.8,82.4,0
32.3758,-82.0414,306.1,6,0
32.3862,-82.0328,303.3,4.5,0
32.3801,-82.5244,310.6,10.1,0
32.3487,-82.9207,304.1,5.7,0
32.8102,-80.6964,347.7,61.9,0
32.8088,-80.7074,324.8,24.4,0
32.5718,-82.7236,305.6,6.8,0
32.601,-82.5883,310.1,9.9,0
32.688,-82.4327,351.6,65.9,0
32.6865,-82.4432,325.9,23.8,0
32.7355,-82.4926,300.8,3.4,0
32.7339,-82.5032,318,15.5,0
32.7443,-82.4945,325.9,22.8,0
32.7428,-82.505,331.8,30.1,0
30.7725,-93.0306,311,72.1,0
30.763,-93.0709,309.8,66.2,0
30.7612,-93.0305,307,49.6,0
30.7514,-93.0708,303.5,33.6,0
30.7773,-93.0358,303.9,34.1,0
32.9011,-81.9787,308.5,8.2,0
32.8996,-81.9893,334.3,34.7,0
30.9558,-92.7157,318.1,97.9,0
30.947,-92.7537,310.5,56.4,0
30.963,-92.7253,317.8,104,0
30.9539,-92.7634,301.1,23.2,0
33.0078,-82.1376,304.6,6.1,0
33.1143,-81.7723,302,4.3,0
33.1128,-81.783,306.8,7.2,0
33.3714,-80.4004,318.3,18.3,0
33.1266,-82.4027,300.4,3.9,0
33.2123,-81.9954,311.1,10.6,0
33.258,-82.381,301.3,4.4,0
33.3329,-82.2505,303.1,5.6,0
33.638,-80.8274,307.5,9,0
33.2741,-83.696,301.9,5.2,0
33.2724,-83.707,331.7,33.5,0
33.6517,-81.2115,303.2,5.7,0
33.6502,-81.2225,314.9,14.1,0
34.0365,-80.7953,321.9,20.8,0
34.038,-80.7839,314,13.1,0
32.647,-94.216,324.4,205.2,0
35.4228,-78.7873,317.2,24,0
35.4212,-78.8017,301.4,7.4,0
33.6411,-82.7332,302.3,5.7,0
32.6442,-94.2071,328,242.5,0
29.5957,-94.6927,309.5,66.7,0
29.5984,-94.6487,311.7,76.9,0
28.8344,-99.0095,310.8,14.4,0
29.5997,-94.6531,313.9,79.9,0
29.7111,-100.0163,305,10.7,0
19.4104,-155.2805,380.7,765.7,1
31.7986,-94.5401,313.3,112.3,0
31.7974,-94.5446,308,81.3,0
31.8151,-94.5456,310.4,96.2,0
31.5079,-106.1969,312.5,7.8,0
32.19,-106.7774,305.1,3.5,0
19.3954,-155.288,319.3,59.7,1
19.3956,-155.2819,326.1,95.8,1
19.4076,-155.2515,315.7,52.4,1
19.4103,-155.2865,369.8,554.1,1
19.4073,-155.2579,333.1,139.7,1
36.1513,-106.7685,322.5,24.1,0
35.0444,-111.666,321.8,33.7,0
36.1529,-106.7571,354.6,78.5,0
32.9443,-113.3161,323.1,43.1,0
33.7822,-109.0688,328.6,31.3,0
19.4053,-155.2865,455.4,924.5,1
30.942,-88.0113,303.3,9.5,2
